Test,Duration(s),Total,OK,Fail,Success%,RPS,Min(ms),Avg(ms),P50(ms),P95(ms),P99(ms),Max(ms)
Baseline Latency,176.65,19,19,0,100.0,0.11,2500.2,9296.6,8251.6,17903.7,17903.7,17903.7
Throughput (50 requests),497.67,50,50,0,100.0,0.10,2235.2,9952.8,10361.6,16441.3,18555.5,18555.5
Concurrency (n=1),13.45,1,1,0,100.0,0.07,13430.4,13430.4,13430.4,13430.4,13430.4,13430.4
Concurrency (n=5),9.90,5,5,0,100.0,0.50,4798.6,7204.4,6571.5,9897.9,9897.9,9897.9
Concurrency (n=10),16.70,10,10,0,100.0,0.60,2188.6,5790.0,4781.5,16690.6,16690.6,16690.6
Concurrency (n=20),14.22,20,20,0,100.0,1.41,2244.9,5305.8,4548.8,14197.0,14197.0,14197.0
Concurrency (n=50),13.87,50,50,0,100.0,3.60,2102.4,5927.3,5840.5,10882.4,13832.2,13832.2
"Load (10 users, 30s)",40.79,59,59,0,100.0,1.45,2590.7,5862.6,4488.1,11094.3,16616.3,16616.3
Stress (max=100),0.00,450,436,14,96.9,0.00,1544.0,7184.6,6641.6,14092.0,16861.5,18807.3
Spike Test,0.00,60,60,0,100.0,0.00,1900.2,6046.7,5946.3,12135.3,16050.9,16050.9
