iter	Passed	Remaining
408	4960	19294
409	4971	19280
410	4981	19259
411	4992	19243
412	5005	19233
413	5019	19229
414	5030	19213
415	5041	19197
416	5053	19182
417	5065	19171
418	5076	19153
419	5088	19140
420	5098	19123
421	5111	19115
422	5122	19097
423	5134	19085
424	5145	19069
425	5157	19056
426	5169	19044
427	5181	19032
428	5193	19017
429	5204	19001
430	5215	18985
431	5227	18972
432	5240	18965
433	5251	18947
434	5261	18928
435	5274	18918
436	5285	18903
437	5296	18888
438	5307	18873
439	5320	18863
440	5332	18850
441	5342	18833
442	5354	18819
443	5364	18800
444	5374	18781
445	5385	18764
446	5396	18748
447	5407	18733
448	5419	18721
449	5430	18703
450	5442	18691
451	5452	18673
452	5465	18663
453	5477	18651
454	5488	18638
455	5499	18621
456	5510	18606
457	5520	18586
458	5531	18569
459	5542	18554
460	5554	18541
461	5566	18531
462	5579	18521
463	5590	18505
464	5601	18490
465	5613	18478
466	5625	18466
467	5637	18453
468	5648	18440
469	5660	18426
470	5670	18408
471	5682	18396
472	5694	18384
473	5706	18371
474	5717	18356
475	5728	18339
476	5737	18320
477	5747	18299
478	5757	18283
479	5769	18269
480	5780	18254
481	5791	18238
482	5800	18217
483	5810	18201
484	5822	18186
485	5834	18175
486	5846	18164
487	5859	18154
488	5871	18142
489	5880	18122
490	5892	18110
491	5904	18097
492	5913	18077
493	5925	18063
494	5936	18050
495	5947	18034
496	5958	18018
497	5969	18003
498	5980	17990
499	5994	17982
500	6005	17967
501	6018	17959
502	6032	17954
503	6045	17945
504	6057	17932
505	6067	17913
506	6077	17897
507	6087	17879
508	6097	17862
509	6107	17842
510	6116	17823
511	6127	17809
512	6139	17797
513	6152	17787
514	6161	17767
515	6172	17752
516	6182	17733
517	6193	17718
518	6203	17702
519	6214	17688
520	6224	17670
521	6234	17651
522	6245	17638
523	6256	17623
524	6266	17604
525	6276	17589
526	6288	17576
527	6299	17561
528	6309	17545
529	6319	17528
530	6331	17516
531	6342	17502
532	6353	17485
533	6364	17471
534	6373	17452
535	6384	17437
536	6395	17424
537	6407	17413
538	6417	17395
539	6428	17379
540	6438	17364
541	6449	17348
542	6460	17333
543	6469	17315
544	6481	17302
545	6493	17291
546	6504	17276
547	6515	17263
548	6527	17251
549	6538	17237
550	6549	17223
551	6558	17204
552	6568	17187
553	6579	17172
554	6587	17152
555	6597	17135
556	6607	17119
557	6617	17101
558	6628	17086
559	6638	17071
560	6650	17059
561	6664	17051
562	6673	17034
563	6682	17014
564	6694	17003
565	6704	16985
566	6714	16969
567	6725	16955
568	6734	16937
569	6744	16921
570	6754	16903
571	6763	16885
572	6776	16875
573	6785	16857
574	6795	16841
575	6806	16826
576	6816	16811
577	6826	16795
578	6837	16779
579	6846	16763
580	6856	16746
581	6866	16729
582	6877	16716
583	6887	16700
584	6898	16685
585	6908	16670
586	6918	16653
587	6927	16636
588	6937	16618
589	6947	16603
590	6959	16592
591	6970	16578
592	6980	16562
593	6991	16548
594	7000	16530
595	7009	16512
596	7018	16494
597	7030	16482
598	7039	16465
599	7050	16451
600	7062	16439
601	7072	16424
602	7082	16407
603	7091	16390
604	7102	16376
605	7112	16360
606	7121	16343
607	7133	16332
608	7146	16322
609	7155	16305
610	7166	16291
611	7175	16274
612	7186	16260
613	7195	16243
614	7207	16231
615	7216	16214
616	7226	16197
617	7236	16182
618	7247	16168
619	7257	16153
620	7266	16136
621	7276	16120
622	7285	16103
623	7295	16087
624	7306	16074
625	7316	16057
626	7326	16042
627	7335	16026
628	7345	16010
629	7355	15995
630	7365	15979
631	7376	15965
632	7385	15948
633	7394	15932
634	7404	15917
635	7413	15900
636	7423	15884
637	7433	15868
638	7448	15865
639	7459	15850
640	7469	15835
641	7478	15819
642	7488	15802
643	7497	15786
644	7507	15770
645	7516	15754
646	7526	15739
647	7536	15724
648	7546	15708
649	7555	15691
650	7565	15676
651	7574	15659
652	7583	15643
653	7593	15627
654	7603	15612
655	7612	15596
656	7622	15580
657	7631	15565
658	7641	15549
659	7651	15534
660	7661	15520
661	7671	15505
662	7681	15491
663	7691	15476
664	7701	15461
665	7711	15445
666	7720	15429
667	7730	15414
668	7744	15408
669	7759	15402
670	7770	15390
671	7781	15377
672	7792	15365
673	7807	15360
674	7819	15348
675	7829	15334
676	7839	15320
677	7850	15307
678	7860	15293
679	7875	15287
680	7886	15274
681	7895	15259
682	7905	15244
683	7915	15229
684	7925	15214
685	7935	15199
686	7944	15184
687	7954	15169
688	7964	15153
689	7973	15138
690	7983	15123
691	7992	15108
692	8002	15092
693	8012	15077
694	8021	15062
695	8031	15047
696	8040	15031
697	8050	15015
698	8059	15000
699	8070	14988
700	8081	14975
701	8091	14961
702	8101	14946
703	8111	14932
704	8120	14916
705	8129	14900
706	8139	14885
707	8149	14870
708	8158	14855
709	8167	14840
710	8177	14825
711	8187	14810
712	8197	14796
713	8206	14780
714	8215	14765
715	8225	14749
716	8234	14734
717	8244	14719
718	8253	14705
719	8263	14691
720	8273	14677
721	8283	14662
722	8293	14647
723	8302	14633
724	8313	14619
725	8322	14604
726	8332	14590
727	8341	14575
728	8351	14560
729	8360	14545
730	8370	14530
731	8379	14515
732	8389	14500
733	8397	14484
734	8407	14469
735	8416	14453
736	8425	14439
737	8435	14425
738	8445	14410
739	8455	14396
740	8464	14381
741	8473	14366
742	8483	14351
743	8492	14337
744	8502	14322
745	8511	14307
746	8521	14293
747	8531	14279
748	8540	14264
749	8549	14249
750	8559	14235
751	8568	14220
752	8578	14205
753	8587	14191
754	8596	14176
755	8606	14161
756	8615	14146
757	8624	14131
758	8634	14117
759	8644	14103
760	8653	14089
761	8662	14074
762	8672	14059
763	8681	14045
764	8691	14031
765	8700	14016
766	8710	14003
767	8720	13988
768	8730	13974
769	8739	13960
770	8748	13944
771	8757	13930
772	8767	13916
773	8776	13901
774	8786	13887
775	8795	13872
776	8804	13857
777	8813	13843
778	8823	13829
779	8832	13815
780	8842	13800
781	8851	13786
782	8861	13772
783	8870	13758
784	8879	13743
785	8889	13729
786	8898	13715
787	8908	13701
788	8917	13687
789	8927	13673
790	8936	13658
791	8945	13643
792	8954	13629
793	8964	13615
794	8973	13601
795	8983	13587
796	8992	13573
797	9002	13559
798	9011	13545
799	9020	13531
800	9030	13517
801	9040	13504
802	9050	13490
803	9059	13476
804	9069	13463
805	9078	13449
806	9088	13435
807	9098	13423
808	9109	13410
809	9118	13396
810	9127	13382
811	9137	13368
812	9147	13355
813	9157	13342
814	9166	13328
815	9176	13314
816	9185	13299
817	9194	13285
818	9203	13271
819	9212	13257
820	9221	13243
821	9231	13229
822	9241	13216
823	9250	13202
824	9260	13188
825	9269	13175
826	9279	13161
827	9289	13148
828	9298	13134
829	9307	13120
830	9317	13107
831	9327	13094
832	9337	13080
833	9347	13068
834	9356	13054
835	9366	13040
836	9375	13026
837	9384	13012
838	9393	12999
839	9403	12985
840	9412	12971
841	9422	12958
842	9431	12945
843	9440	12930
844	9450	12916
845	9459	12902
846	9468	12889
847	9478	12876
848	9488	12863
849	9498	12850
850	9507	12836
851	9517	12823
852	9526	12810
853	9536	12797
854	9546	12783
855	9555	12770
856	9565	12757
857	9575	12744
858	9584	12731
859	9594	12718
860	9604	12705
861	9614	12692
862	9623	12678
863	9632	12665
864	9642	12651
865	9651	12638
866	9661	12625
867	9671	12612
868	9680	12599
869	9689	12585
870	9699	12572
871	9708	12558
872	9718	12546
873	9728	12533
874	9738	12520
875	9747	12506
876	9756	12493
877	9766	12481
878	9776	12467
879	9785	12454
880	9796	12442
881	9805	12428
882	9814	12415
883	9824	12403
884	9834	12390
885	9844	12377
886	9853	12364
887	9863	12351
888	9872	12338
889	9882	12325
890	9892	12312
891	9901	12299
892	9911	12286
893	9920	12273
894	9929	12259
895	9938	12245
896	9947	12231
897	9956	12218
898	9966	12205
899	9975	12192
900	9985	12179
901	9994	12166
902	10003	12152
903	10013	12140
904	10023	12128
905	10033	12115
906	10044	12103
907	10053	12090
908	10063	12078
909	10073	12065
910	10082	12053
911	10092	12040
912	10102	12027
913	10112	12015
914	10122	12003
915	10134	11992
916	10143	11979
917	10152	11966
918	10162	11953
919	10171	11941
920	10181	11928
921	10191	11915
922	10201	11903
923	10210	11890
924	10219	11877
925	10229	11864
926	10239	11851
927	10248	11839
928	10258	11826
929	10268	11814
930	10277	11800
931	10286	11787
932	10295	11774
933	10304	11761
934	10314	11748
935	10325	11737
936	10334	11724
937	10343	11710
938	10353	11698
939	10364	11687
940	10374	11675
941	10384	11663
942	10393	11650
943	10405	11639
944	10417	11629
945	10430	11620
946	10440	11609
947	10450	11596
948	10459	11583
949	10469	11571
950	10479	11558
951	10489	11546
952	10498	11534
953	10508	11521
954	10517	11508
955	10526	11495
956	10536	11483
957	10546	11471
958	10556	11459
959	10566	11446
960	10575	11433
961	10584	11421
962	10594	11408
963	10604	11396
964	10613	11383
965	10623	11370
966	10632	11357
967	10641	11344
968	10650	11331
969	10660	11319
970	10670	11307
971	10680	11295
972	10690	11283
973	10699	11271
974	10709	11258
975	10719	11246
976	10729	11234
977	10739	11222
978	10748	11209
979	10758	11197
980	10767	11184
981	10776	11172
982	10786	11159
983	10796	11147
984	10806	11135
985	10816	11123
986	10825	11110
987	10835	11098
988	10844	11086
989	10854	11073
990	10863	11061
991	10872	11048
992	10882	11036
993	10891	11023
994	10901	11010
995	10911	10998
996	10921	10986
