iter	Logloss
0	0.6717467103
1	0.6497827005
2	0.6296609616
3	0.6131699316
4	0.5975762567
5	0.5828815429
6	0.5686998803
7	0.5567880092
8	0.543622141
9	0.5313288908
10	0.521170822
11	0.5096285532
12	0.5009410607
13	0.4918886279
14	0.4851753082
15	0.4771606278
16	0.4704173262
17	0.4634628995
18	0.459021541
19	0.4527540694
20	0.4481026265
21	0.4437110087
22	0.4395895092
23	0.4363984192
24	0.4321721915
25	0.4285617905
26	0.4255920949
27	0.4223332055
28	0.4192646347
29	0.4155509173
30	0.4125704704
31	0.4101975527
32	0.4076951298
33	0.4051618208
34	0.4035696943
35	0.4013156319
36	0.3988611762
37	0.3960023355
38	0.3936875478
39	0.3911399631
40	0.3891551651
41	0.3879099826
42	0.3851295593
43	0.383650363
44	0.3814861443
45	0.3797495066
46	0.3778994413
47	0.3761894835
48	0.3750575511
49	0.3732489293
50	0.3717907812
51	0.3705945039
52	0.3692113919
53	0.3680387137
54	0.3667808034
55	0.3658640408
56	0.3644868353
57	0.3632623143
58	0.362227159
59	0.360749379
60	0.3599391362
61	0.3586619372
62	0.3575443703
63	0.3561514985
64	0.3548891876
65	0.353373617
66	0.3526276435
67	0.3517497151
68	0.3503965887
69	0.349197388
70	0.3481439839
71	0.3473139137
72	0.3466604357
73	0.3459495576
74	0.3453066728
75	0.344509455
76	0.3440085958
77	0.3434982056
78	0.3426916705
79	0.3420065825
80	0.3410350731
81	0.3403918484
82	0.3396147725
83	0.3387573079
84	0.3382738585
85	0.3377028661
86	0.3368818859
87	0.3361614898
88	0.3353570214
89	0.3346630257
90	0.3341137696
91	0.3334819045
92	0.3329302904
93	0.3322400167
94	0.3318300193
95	0.331119148
96	0.3304225646
97	0.3298717885
98	0.3291838562
99	0.32873022
100	0.328084253
101	0.3276881049
102	0.327413202
103	0.3270595198
104	0.3265059338
105	0.3263090336
106	0.325792033
107	0.3249126214
108	0.3244438026
109	0.3240900937
110	0.3237313792
111	0.3229678592
112	0.3225896625
113	0.3222677254
114	0.321736037
115	0.321393804
116	0.3213741066
117	0.3210254073
118	0.3207151502
119	0.3201854148
120	0.3197639591
121	0.3192450616
122	0.3188464778
123	0.3183277053
124	0.3177737685
125	0.3175010029
126	0.3172301356
127	0.3167675921
128	0.3167512312
129	0.3162626197
130	0.3157906685
131	0.3152191448
132	0.3145959673
133	0.3143133986
134	0.3139250622
135	0.3134016264
136	0.3128028266
137	0.312710989
138	0.3124502225
139	0.3122236998
140	0.3119014255
141	0.3115263011
142	0.3115248148
143	0.3113038697
144	0.3111130334
145	0.3109222534
146	0.3105680526
147	0.3102139536
148	0.3100057339
149	0.3097675625
150	0.3094044739
151	0.3092369757
152	0.3088744411
153	0.308527675
154	0.3081963124
155	0.3074856996
156	0.307278252
157	0.306936144
158	0.3065150138
159	0.3060142567
160	0.3058146518
161	0.3054774056
162	0.3052788701
163	0.3050698957
164	0.3047401445
165	0.3042809326
166	0.3040699621
167	0.3038612451
168	0.3036182083
169	0.3034753846
170	0.3031918168
171	0.3028888486
172	0.302612505
173	0.3023189328
174	0.3020302859
175	0.3018125948
176	0.3016957034
177	0.3016673207
178	0.3014344092
179	0.3011216929
180	0.300779407
181	0.3005849364
182	0.3003898252
183	0.3000007526
184	0.2998534492
185	0.2997034647
186	0.299538582
187	0.2992409865
188	0.2989862918
189	0.2988491401
190	0.298649656
191	0.2985529272
192	0.2983912747
193	0.2983599192
194	0.2979882521
195	0.297763294
196	0.2977063421
197	0.297312313
198	0.2970727719
199	0.2968400177
200	0.2966666464
201	0.2962424194
202	0.2961760086
203	0.2959578106
204	0.2958365172
205	0.2956283504
206	0.2954288118
207	0.2952325569
208	0.2949315091
209	0.2947187609
210	0.2944349861
211	0.2941633009
212	0.2938664016
213	0.2937305564
214	0.2934392089
215	0.2930316738
216	0.2927433567
217	0.2926553891
218	0.2924891838
219	0.2923198748
220	0.292144224
221	0.2919186518
222	0.2918791558
223	0.291879118
224	0.291597312
225	0.2914890679
226	0.2912945493
227	0.2910981263
228	0.2908657178
229	0.2906244106
230	0.2903283402
231	0.2901285703
232	0.2901274474
233	0.2897778054
234	0.2895636002
235	0.2894199256
236	0.2891826469
237	0.2889790651
238	0.2889446688
239	0.2888434873
240	0.2887457951
241	0.2884967131
242	0.2882638191
243	0.2882615505
244	0.2880700936
245	0.2877568895
246	0.2875362913
247	0.287339134
248	0.28705745
249	0.2865954129
250	0.2865595763
251	0.2863640481
252	0.2861954113
253	0.2861149257
254	0.2859707209
255	0.2858278794
256	0.2858280044
257	0.2855536126
258	0.2854111088
259	0.2852025228
260	0.2851164242
261	0.2848798357
262	0.2846296471
263	0.2845178569
264	0.2844309978
265	0.2844275982
266	0.2843924302
267	0.2841532135
268	0.2840198513
269	0.2837363045
270	0.2836698151
271	0.2835728647
272	0.283404595
273	0.2833499064
274	0.283162176
275	0.2830985841
276	0.2830181212
277	0.2829578337
278	0.2828722022
279	0.2828340095
280	0.2826647056
281	0.2825517387
282	0.2824015955
283	0.2821685302
284	0.281962353
285	0.2818732237
286	0.2816851449
287	0.281579815
288	0.2815142495
289	0.2813261251
290	0.2810666861
291	0.2808041026
292	0.280637842
293	0.2804127744
294	0.2802532601
295	0.2801699482
296	0.2801628505
297	0.2798951503
298	0.2798729599
299	0.2795093724
