iter	Passed	Remaining
402	9457	2276
403	9477	2252
404	9498	2228
405	9517	2203
406	9537	2179
407	9556	2154
408	9574	2130
409	9594	2106
410	9615	2082
411	9637	2058
412	9656	2034
413	9674	2009
414	9694	1985
415	9714	1961
416	9732	1937
417	9750	1912
418	9768	1888
419	9787	1864
420	9806	1840
421	9825	1816
422	9843	1791
423	9862	1767
424	9882	1744
425	9901	1719
426	9920	1696
427	9939	1672
428	9958	1648
429	9977	1624
430	9995	1600
431	10014	1576
432	10033	1552
433	10053	1528
434	10080	1506
435	10109	1483
436	10138	1461
437	10164	1438
438	10185	1415
439	10208	1392
440	10231	1368
441	10253	1345
442	10283	1323
443	10305	1299
444	10327	1276
445	10349	1253
446	10374	1230
447	10396	1206
448	10417	1183
449	10440	1160
450	10464	1136
451	10489	1113
452	10513	1090
453	10534	1067
454	10558	1044
455	10579	1020
456	10599	997
457	10619	973
458	10644	950
459	10666	927
460	10688	904
461	10708	880
462	10729	857
463	10750	834
464	10771	810
465	10793	787
466	10813	764
467	10833	740
468	10855	717
469	10879	694
470	10899	671
471	10921	647
472	10941	624
473	10962	601
474	10982	578
475	11002	554
476	11023	531
477	11045	508
478	11066	485
479	11087	461
480	11108	438
481	11129	415
482	11150	392
483	11175	369
484	11198	346
485	11219	323
486	11240	300
487	11261	276
488	11281	253
489	11303	230
490	11322	207
491	11346	184
492	11369	161
493	11391	138
494	11412	115
495	11435	92
496	11458	69
497	11481	46
498	11504	23
499	11526	0
